CONCEPT	rope	ruler	sack	saddle	sailboat	salamander	salmon	sandals	sandpaper	sardine	saucer	saxophone	scarf	scissors	scooter	screwdriver	screws	seagull	seal	seaweed	shack	shawl	shed	sheep	shell	shelves	shield	ship	shirt	shoes	shotgun	shovel	shrimp	sink	skateboard	skillet	skirt	skis	skunk	skyscraper	sled	sledgehammer	sleigh	slingshot	slippers	snail	socks	sofa	spade	sparrow	spatula	spear	spider	spinach	spoon	squid	squirrel	starling	stereo	stick	stone	stool_(furniture)	stork	stove	strainer	strawberry	submarine	subway	surfboard	swan	sweater	swimsuit	sword	table	tack	tangerine	tank_(army)	tank_(container)	tap	tape_(scotch)	taxi	telephone	tent	thermometer	thimble	tie	tiger	toad	toaster	toilet	tomahawk	tomato	tongs	tortoise	toy	tractor	trailer	train	tray	tricycle	tripod	trolley	trombone	trousers	trout	truck	trumpet	tuba	tuna	turkey	turnip	turtle	typewriter	umbrella	unicycle	urn	van	veil	vest	vine	violin	vulture	wagon	wall	walnut	walrus	wand	wasp	whale	wheel	wheelbarrow	whip	whistle	willow	woodpecker	worm	wrench	yacht	yam	zebra	zucchini
harp	0.000	0.045	0.000	0.000	0.076	0.000	0.000	0.000	0.000	0.000	0.000	0.421	0.000	0.000	0.000	0.000	0.000	0.000	0.036	0.000	0.074	0.000	0.048	0.000	0.000	0.067	0.059	0.124	0.000	0.000	0.000	0.000	0.053	0.000	0.052	0.000	0.000	0.024	0.000	0.031	0.062	0.084	0.035	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.021	0.015	0.026	0.000	0.027	0.000	0.000	0.000	0.000	0.084	0.000	0.079	0.040	0.000	0.000	0.000	0.095	0.000	0.019	0.000	0.000	0.000	0.000	0.080	0.000	0.000	0.125	0.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.032	0.000	0.000	0.000	0.017	0.000	0.000	0.030	0.000	0.077	0.052	0.000	0.000	0.000	0.000	0.062	0.551	0.000	0.000	0.121	0.317	0.472	0.045	0.067	0.000	0.000	0.000	0.049	0.000	0.000	0.084	0.000	0.000	0.000	0.707	0.056	0.025	0.039	0.000	0.132	0.000	0.000	0.162	0.000	0.024	0.000	0.000	0.062	0.000	0.000	0.000	0.121	0.000	0.000	0.000
harpoon	0.123	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.090	0.094	0.353	0.055	0.120	0.209	0.000	0.000	0.034	0.053	0.000	0.043	0.000	0.000	0.066	0.253	0.000	0.000	0.000	0.412	0.075	0.000	0.050	0.047	0.105	0.110	0.109	0.000	0.000	0.049	0.218	0.066	0.230	0.000	0.000	0.000	0.000	0.139	0.000	0.158	0.624	0.000	0.000	0.114	0.000	0.000	0.000	0.000	0.167	0.043	0.082	0.000	0.039	0.156	0.000	0.123	0.000	0.159	0.000	0.000	0.000	0.587	0.000	0.449	0.000	0.115	0.147	0.153	0.037	0.000	0.000	0.000	0.051	0.168	0.045	0.000	0.000	0.073	0.000	0.170	0.000	0.308	0.000	0.000	0.060	0.000	0.052	0.102	0.067	0.110	0.088	0.056	0.000	0.000	0.000	0.069	0.045	0.000	0.000	0.000	0.000	0.062	0.094	0.000	0.082	0.000	0.000	0.000	0.093	0.000	0.000	0.035	0.000	0.000	0.000	0.170	0.000	0.000	0.042	0.114	0.185	0.163	0.055	0.000	0.162	0.194	0.000	0.000	0.000	0.084
harpsichord	0.000	0.060	0.000	0.000	0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.467	0.000	0.000	0.000	0.000	0.000	0.000	0.020	0.000	0.099	0.000	0.064	0.000	0.000	0.089	0.048	0.081	0.000	0.000	0.000	0.000	0.030	0.000	0.069	0.000	0.000	0.032	0.000	0.017	0.083	0.089	0.047	0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.028	0.020	0.015	0.000	0.036	0.000	0.000	0.000	0.000	0.113	0.000	0.106	0.022	0.000	0.000	0.000	0.053	0.000	0.026	0.000	0.000	0.000	0.000	0.107	0.000	0.000	0.070	0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.018	0.000	0.000	0.000	0.023	0.000	0.000	0.017	0.000	0.043	0.029	0.000	0.000	0.000	0.000	0.034	0.557	0.000	0.000	0.068	0.391	0.565	0.025	0.037	0.000	0.000	0.000	0.028	0.000	0.000	0.047	0.000	0.000	0.000	0.669	0.031	0.033	0.052	0.000	0.074	0.000	0.000	0.090	0.000	0.032	0.000	0.000	0.034	0.000	0.000	0.000	0.068	0.000	0.000	0.000
hatchet	0.000	0.000	0.000	0.000	0.025	0.093	0.000	0.000	0.000	0.065	0.000	0.127	0.000	0.635	0.104	0.429	0.245	0.000	0.000	0.000	0.143	0.000	0.108	0.000	0.000	0.093	0.299	0.000	0.000	0.000	0.207	0.443	0.086	0.070	0.000	0.295	0.000	0.000	0.019	0.000	0.069	0.410	0.093	0.000	0.000	0.040	0.000	0.000	0.387	0.052	0.313	0.114	0.042	0.000	0.208	0.000	0.044	0.040	0.000	0.000	0.028	0.155	0.000	0.055	0.219	0.022	0.173	0.000	0.000	0.000	0.000	0.000	0.439	0.000	0.378	0.052	0.162	0.206	0.214	0.000	0.000	0.000	0.000	0.000	0.287	0.000	0.000	0.029	0.103	0.000	0.254	0.000	0.355	0.000	0.000	0.084	0.000	0.073	0.143	0.141	0.154	0.165	0.000	0.000	0.000	0.000	0.097	0.063	0.000	0.000	0.000	0.019	0.087	0.277	0.000	0.116	0.000	0.000	0.000	0.000	0.000	0.000	0.122	0.000	0.022	0.000	0.000	0.037	0.000	0.059	0.160	0.055	0.288	0.000	0.000	0.037	0.525	0.000	0.000	0.000	0.000
hawk	0.000	0.000	0.000	0.000	0.076	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.587	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.039	0.109	0.000	0.000	0.000	0.000	0.054	0.000	0.000	0.000	0.000	0.000	0.000	0.031	0.000	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.684	0.000	0.000	0.041	0.000	0.000	0.000	0.000	0.692	0.000	0.000	0.000	0.000	0.566	0.000	0.000	0.000	0.096	0.000	0.000	0.362	0.000	0.000	0.000	0.000	0.000	0.000	0.126	0.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.088	0.000	0.000	0.000	0.000	0.000	0.000	0.030	0.000	0.078	0.052	0.000	0.000	0.000	0.000	0.062	0.054	0.000	0.000	0.122	0.000	0.120	0.046	0.411	0.000	0.000	0.000	0.050	0.000	0.000	0.085	0.000	0.000	0.000	0.000	0.550	0.000	0.000	0.000	0.133	0.000	0.273	0.163	0.000	0.000	0.000	0.000	0.062	0.535	0.000	0.000	0.122	0.000	0.000	0.000
helicopter	0.000	0.000	0.000	0.000	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.039	0.000	0.091	0.100	0.037	0.065	0.000	0.000	0.000	0.023	0.000	0.018	0.000	0.000	0.029	0.092	0.043	0.000	0.000	0.284	0.032	0.000	0.022	0.044	0.045	0.000	0.000	0.000	0.000	0.021	0.078	0.081	0.000	0.000	0.000	0.000	0.000	0.060	0.000	0.047	0.000	0.000	0.000	0.049	0.000	0.000	0.000	0.092	0.000	0.000	0.036	0.000	0.017	0.067	0.000	0.193	0.145	0.000	0.000	0.000	0.000	0.043	0.000	0.044	0.000	0.050	0.063	0.066	0.000	0.065	0.000	0.000	0.000	0.072	0.000	0.000	0.000	0.032	0.000	0.000	0.000	0.109	0.000	0.000	0.129	0.000	0.125	0.044	0.052	0.047	0.091	0.152	0.000	0.000	0.029	0.245	0.171	0.000	0.000	0.000	0.000	0.027	0.041	0.029	0.036	0.030	0.000	0.000	0.000	0.000	0.000	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.018	0.072	0.000	0.245	0.000	0.047	0.000	0.084	0.020	0.000	0.000	0.000
helmet	0.000	0.059	0.000	0.000	0.000	0.000	0.000	0.029	0.000	0.000	0.000	0.000	0.019	0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.019	0.000	0.000	0.224	0.027	0.000	0.000	0.030	0.167	0.000	0.000	0.000	0.000	0.000	0.000	0.016	0.000	0.000	0.000	0.067	0.000	0.036	0.000	0.000	0.000	0.026	0.000	0.000	0.000	0.102	0.000	0.000	0.000	0.025	0.000	0.000	0.000	0.000	0.058	0.237	0.000	0.000	0.000	0.094	0.000	0.000	0.000	0.018	0.000	0.035	0.032	0.000	0.000	0.033	0.000	0.000	0.087	0.000	0.000	0.000	0.067	0.000	0.000	0.278	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.049	0.000	0.000	0.000	0.000	0.000	0.117	0.000	0.000	0.000	0.000	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.045	0.000	0.076	0.000	0.000	0.000	0.000	0.039	0.000	0.000	0.000	0.000	0.000	0.185	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.093	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hoe	0.050	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.022	0.038	0.097	0.014	0.419	0.037	0.000	0.000	0.014	0.013	0.000	0.010	0.000	0.000	0.016	0.052	0.000	0.000	0.000	0.036	0.674	0.000	0.012	0.019	0.173	0.045	0.044	0.000	0.000	0.012	0.308	0.016	0.000	0.000	0.000	0.000	0.000	0.325	0.000	0.209	0.111	0.000	0.000	0.125	0.000	0.000	0.000	0.000	0.049	0.000	0.020	0.000	0.010	0.038	0.000	0.030	0.000	0.064	0.000	0.000	0.000	0.250	0.000	0.025	0.000	0.028	0.036	0.037	0.015	0.000	0.000	0.000	0.021	0.041	0.018	0.000	0.000	0.018	0.000	0.307	0.000	0.084	0.000	0.000	0.015	0.000	0.013	0.025	0.016	0.027	0.022	0.022	0.000	0.000	0.000	0.017	0.011	0.000	0.000	0.000	0.000	0.015	0.168	0.000	0.020	0.000	0.000	0.000	0.038	0.000	0.000	0.081	0.000	0.000	0.000	0.069	0.000	0.000	0.010	0.028	0.108	0.040	0.022	0.000	0.066	0.390	0.000	0.000	0.000	0.034
honeydew	0.000	0.000	0.000	0.000	0.000	0.043	0.000	0.000	0.000	0.000	0.137	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.136	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.038	0.000	0.000	0.062	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.156	0.000	0.000	0.000	0.000	0.029	0.000	0.089	0.096	0.000	0.000	0.062	0.482	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.090	0.000	0.540	0.082	0.000	0.000	0.000	0.077	0.000	0.000	0.047	0.000	0.000	0.000	0.101	0.000	0.000	0.000	0.470	0.000	0.062	0.000	0.014	0.000	0.000	0.053	0.000	0.000	0.000	0.000	0.000	0.016	0.000	0.000	0.000	0.021	0.000	0.049	0.069	0.000	0.066	0.000	0.090	0.000	0.000	0.000	0.127	0.000	0.000	0.000	0.000	0.000	0.000	0.069	0.034	0.000	0.218	0.000	0.000	0.000	0.053	0.000	0.000	0.000	0.038	0.197	0.000	0.189
hook	0.000	0.034	0.000	0.000	0.000	0.000	0.000	0.017	0.000	0.000	0.053	0.113	0.000	0.317	0.069	0.107	0.188	0.000	0.000	0.000	0.066	0.000	0.053	0.000	0.000	0.138	0.265	0.000	0.000	0.000	0.183	0.093	0.000	0.062	0.000	0.131	0.000	0.000	0.000	0.000	0.090	0.225	0.104	0.000	0.000	0.000	0.000	0.000	0.173	0.000	0.193	0.090	0.000	0.000	0.157	0.000	0.000	0.000	0.000	0.000	0.000	0.103	0.000	0.049	0.249	0.000	0.153	0.000	0.000	0.000	0.000	0.000	0.234	0.000	0.369	0.000	0.144	0.232	0.190	0.000	0.000	0.039	0.000	0.000	0.225	0.000	0.000	0.000	0.091	0.000	0.031	0.000	0.343	0.000	0.000	0.074	0.000	0.064	0.194	0.083	0.137	0.110	0.000	0.000	0.000	0.000	0.086	0.056	0.000	0.000	0.000	0.000	0.077	0.139	0.000	0.103	0.000	0.000	0.000	0.000	0.000	0.000	0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.052	0.142	0.000	0.257	0.000	0.000	0.075	0.242	0.000	0.000	0.000	0.000
hornet	0.000	0.000	0.000	0.000	0.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.275	0.018	0.000	0.000	0.000	0.000	0.031	0.000	0.000	0.020	0.055	0.000	0.000	0.000	0.000	0.027	0.000	0.000	0.000	0.000	0.000	0.069	0.016	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.058	0.303	0.000	0.000	0.115	0.000	0.000	0.000	0.000	0.299	0.000	0.000	0.000	0.000	0.208	0.000	0.000	0.000	0.048	0.000	0.000	0.102	0.000	0.000	0.000	0.000	0.000	0.000	0.064	0.038	0.000	0.000	0.092	0.000	0.000	0.000	0.000	0.000	0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.015	0.000	0.061	0.026	0.000	0.000	0.000	0.000	0.031	0.027	0.000	0.000	0.062	0.000	0.061	0.023	0.087	0.000	0.000	0.000	0.025	0.000	0.000	0.043	0.022	0.000	0.000	0.000	0.202	0.000	0.000	0.000	0.067	0.031	0.866	0.083	0.000	0.000	0.031	0.000	0.031	0.248	0.000	0.000	0.062	0.000	0.061	0.000
horse	0.084	0.000	0.000	0.000	0.130	0.159	0.077	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.105	0.000	0.000	0.018	0.144	0.000	0.000	0.000	0.000	0.324	0.000	0.000	0.053	0.185	0.000	0.000	0.000	0.000	0.104	0.000	0.122	0.000	0.000	0.000	0.264	0.041	0.023	0.041	0.048	0.000	0.000	0.000	0.000	0.080	0.000	0.090	0.000	0.000	0.165	0.000	0.000	0.000	0.390	0.058	0.000	0.000	0.000	0.098	0.181	0.000	0.000	0.000	0.167	0.120	0.000	0.022	0.000	0.000	0.000	0.115	0.000	0.000	0.168	0.100	0.000	0.000	0.077	0.000	0.000	0.000	0.000	0.000	0.152	0.137	0.000	0.000	0.000	0.000	0.000	0.165	0.000	0.104	0.070	0.086	0.000	0.150	0.000	0.132	0.072	0.054	0.055	0.190	0.000	0.160	0.061	0.188	0.000	0.177	0.000	0.066	0.026	0.000	0.141	0.000	0.000	0.000	0.000	0.200	0.019	0.000	0.000	0.376	0.000	0.000	0.332	0.000	0.021	0.000	0.000	0.083	0.101	0.000	0.000	0.182	0.000	0.294	0.000
hose	0.258	0.084	0.000	0.000	0.000	0.069	0.000	0.017	0.000	0.000	0.076	0.000	0.167	0.027	0.000	0.061	0.000	0.000	0.000	0.280	0.000	0.000	0.017	0.000	0.000	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.084	0.035	0.196	0.220	0.000	0.000	0.030	0.067	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.172	0.172	0.000	0.234	0.015	0.000	0.000	0.000	0.000	0.253	0.049	0.053	0.000	0.000	0.091	0.000	0.000	0.000	0.283	0.000	0.000	0.000	0.141	0.050	0.000	0.042	0.133	0.052	0.000	0.065	0.000	0.040	0.000	0.118	0.016	0.109	0.000	0.162	0.000	0.000	0.000	0.158	0.128	0.100	0.000	0.000	0.000	0.000	0.100	0.000	0.000	0.000	0.099	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.027	0.111	0.000	0.059	0.000	0.050	0.000	0.000	0.000	0.370	0.000	0.000	0.000	0.000	0.000	0.000	0.341	0.000	0.000	0.174	0.000	0.254	0.056	0.183	0.000	0.290	0.000	0.000	0.000	0.000	0.344
hose_(leggings)	0.000	0.000	0.000	0.000	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.178	0.000	0.000	0.000	0.021	0.000	0.000	0.000	0.000	0.420	0.000	0.000	0.103	0.000	0.000	0.000	0.244	0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.431	0.000	0.000	0.000	0.046	0.000	0.000	0.000	0.135	0.000	0.205	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.052	0.000	0.247	0.285	0.000	0.000	0.095	0.000	0.000	0.027	0.000	0.017	0.000	0.000	0.000	0.000	0.000	0.139	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.141	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.151	0.000	0.000	0.000	0.163	0.176	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.020	0.000	0.000	0.000	0.000
house	0.000	0.071	0.000	0.000	0.082	0.082	0.000	0.000	0.000	0.058	0.000	0.000	0.000	0.000	0.023	0.000	0.030	0.000	0.028	0.000	0.231	0.024	0.193	0.000	0.075	0.106	0.062	0.111	0.000	0.000	0.000	0.000	0.119	0.000	0.082	0.000	0.000	0.038	0.017	0.106	0.098	0.110	0.055	0.050	0.000	0.036	0.000	0.000	0.000	0.046	0.033	0.024	0.058	0.000	0.042	0.000	0.039	0.035	0.036	0.133	0.025	0.160	0.032	0.000	0.000	0.020	0.075	0.000	0.030	0.000	0.059	0.000	0.000	0.127	0.063	0.046	0.099	0.059	0.000	0.000	0.021	0.000	0.000	0.000	0.045	0.000	0.026	0.026	0.000	0.000	0.028	0.000	0.000	0.024	0.000	0.061	0.041	0.000	0.000	0.042	0.000	0.085	0.042	0.000	0.000	0.096	0.000	0.094	0.036	0.053	0.000	0.017	0.000	0.039	0.000	0.000	0.145	0.000	0.000	0.000	0.056	0.044	0.039	0.175	0.019	0.105	0.000	0.033	0.128	0.000	0.038	0.000	0.052	0.049	0.000	0.033	0.000	0.144	0.000	0.000	0.000
housefly	0.000	0.000	0.000	0.000	0.038	0.188	0.000	0.000	0.000	0.100	0.000	0.000	0.000	0.000	0.083	0.000	0.051	0.282	0.000	0.000	0.151	0.000	0.073	0.115	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.132	0.000	0.023	0.000	0.000	0.000	0.197	0.000	0.029	0.000	0.000	0.000	0.000	0.061	0.015	0.046	0.107	0.373	0.000	0.000	0.337	0.000	0.000	0.000	0.143	0.371	0.000	0.000	0.043	0.104	0.255	0.000	0.000	0.034	0.000	0.102	0.000	0.099	0.000	0.000	0.000	0.039	0.108	0.080	0.000	0.000	0.000	0.000	0.022	0.000	0.000	0.000	0.078	0.000	0.059	0.068	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.061	0.000	0.071	0.000	0.063	0.000	0.050	0.000	0.000	0.000	0.000	0.000	0.051	0.000	0.074	0.000	0.000	0.000	0.000	0.000	0.040	0.000	0.000	0.000	0.168	0.000	0.000	0.033	0.000	0.057	0.584	0.000	0.000	0.000	0.057	0.089	0.000	0.241	0.056	0.000	0.000	0.000	0.112	0.000
hut	0.000	0.140	0.000	0.000	0.077	0.283	0.000	0.000	0.000	0.199	0.000	0.000	0.000	0.000	0.079	0.000	0.101	0.000	0.000	0.000	0.442	0.000	0.296	0.000	0.235	0.208	0.061	0.050	0.000	0.000	0.000	0.000	0.264	0.000	0.162	0.000	0.000	0.075	0.059	0.000	0.192	0.169	0.109	0.098	0.000	0.122	0.000	0.000	0.000	0.158	0.064	0.047	0.129	0.000	0.083	0.000	0.133	0.121	0.000	0.263	0.085	0.366	0.000	0.000	0.000	0.067	0.000	0.000	0.060	0.000	0.000	0.000	0.000	0.250	0.216	0.159	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.156	0.000	0.000	0.088	0.000	0.000	0.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.143	0.000	0.126	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.058	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.111	0.000	0.077	0.120	0.067	0.000	0.000	0.113	0.000	0.000	0.075	0.000	0.178	0.000	0.000	0.112	0.000	0.000	0.000	0.000	0.000
hyena	0.000	0.000	0.000	0.000	0.000	0.170	0.080	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.047	0.000	0.000	0.000	0.199	0.000	0.000	0.000	0.000	0.333	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.024	0.000	0.000	0.000	0.298	0.000	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.045	0.000	0.144	0.000	0.000	0.000	0.000	0.000	0.000	0.369	0.000	0.000	0.000	0.000	0.074	0.000	0.000	0.000	0.000	0.000	0.079	0.000	0.000	0.000	0.000	0.000	0.111	0.000	0.000	0.000	0.000	0.000	0.000	0.023	0.000	0.000	0.000	0.000	0.000	0.253	0.086	0.000	0.000	0.000	0.000	0.000	0.196	0.000	0.000	0.000	0.065	0.000	0.000	0.000	0.000	0.000	0.000	0.053	0.000	0.000	0.000	0.000	0.078	0.000	0.201	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.147	0.000	0.000	0.000	0.351	0.000	0.000	0.193	0.000	0.000	0.000	0.000	0.000	0.082	0.000	0.000	0.000	0.000	0.321	0.000
iguana	0.000	0.000	0.000	0.000	0.000	0.521	0.068	0.000	0.000	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.038	0.257	0.000	0.000	0.000	0.116	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.059	0.000	0.000	0.000	0.000	0.000	0.157	0.000	0.000	0.000	0.000	0.000	0.000	0.055	0.000	0.040	0.000	0.036	0.000	0.000	0.085	0.244	0.000	0.019	0.201	0.000	0.000	0.000	0.000	0.049	0.043	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.055	0.000	0.000	0.139	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.043	0.271	0.000	0.000	0.000	0.088	0.000	0.212	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.029	0.052	0.000	0.000	0.000	0.000	0.020	0.000	0.281	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.214	0.000	0.032	0.000	0.000	0.000	0.079	0.000	0.000	0.029	0.000	0.000	0.000	0.000	0.089	0.020	0.051	0.000	0.000	0.000	0.151	0.204
inn	0.000	0.000	0.000	0.000	0.041	0.149	0.000	0.000	0.000	0.105	0.000	0.000	0.000	0.000	0.042	0.000	0.054	0.000	0.000	0.000	0.112	0.000	0.106	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.139	0.000	0.000	0.000	0.000	0.000	0.031	0.105	0.000	0.000	0.000	0.000	0.000	0.065	0.000	0.000	0.000	0.084	0.000	0.000	0.068	0.000	0.000	0.000	0.070	0.064	0.000	0.000	0.045	0.062	0.000	0.000	0.000	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.114	0.084	0.000	0.000	0.000	0.000	0.000	0.000	0.107	0.000	0.082	0.000	0.000	0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.076	0.000	0.066	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.035	0.000	0.000	0.060	0.000	0.000	0.000	0.000	0.094	0.000	0.000	0.059	0.000	0.000	0.000	0.000	0.000
jacket	0.000	0.000	0.000	0.074	0.000	0.000	0.000	0.061	0.000	0.000	0.000	0.000	0.180	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.274	0.000	0.000	0.071	0.000	0.000	0.000	0.380	0.120	0.000	0.000	0.000	0.000	0.000	0.000	0.163	0.000	0.000	0.000	0.032	0.000	0.000	0.000	0.062	0.000	0.127	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.035	0.000	0.305	0.168	0.000	0.000	0.066	0.000	0.000	0.000	0.000	0.000	0.000	0.040	0.000	0.000	0.000	0.164	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.219	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.076	0.000	0.000	0.000	0.000	0.589	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.072	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
jar	0.000	0.022	0.139	0.000	0.000	0.000	0.000	0.011	0.000	0.000	0.072	0.000	0.000	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.046	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.019	0.000	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.038	0.000	0.000	0.000	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.393	0.000	0.012	0.000	0.025	0.000	0.187	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.019	0.000	0.000	0.000	0.069	0.000	0.121	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.014	0.000	0.154	0.000	0.041	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.043	0.000	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
jeans	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.049	0.000	0.000	0.000	0.000	0.059	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.147	0.000	0.000	0.054	0.000	0.000	0.000	0.262	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.096	0.000	0.000	0.000	0.024	0.000	0.000	0.000	0.135	0.000	0.080	0.124	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.027	0.000	0.129	0.105	0.000	0.000	0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.066	0.000	0.000	0.000	0.102	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.225	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.058	0.000	0.000	0.000	0.000	0.277	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
