CONCEPT	accordion	airplane	alligator	ambulance	anchor	ant	apartment	apple	apron	armour	ashtray	asparagus	avocado	axe	bag	bagpipe	ball	balloon	banana	banjo	banner	barn	barrel	basement	basket	bat_(animal)	bat_(baseball)	bathtub	baton	bayonet	bazooka	beans	bear	beaver	bed	bedroom	beehive	beetle	beets	belt	bench	bike	bin_(waste)	birch	biscuit	bison	blackbird	blender	blouse	blueberry	bluejay	board_(black)	board_(wood)	boat	bolts	bomb	book	bookcase	boots	bottle	bouquet	bow_(ribbon)	bow_(weapon)	bowl	box	bra	bracelet	bread	brick	bridge	broccoli	broom	brush	bucket	buckle	budgie	buffalo	buggy	building	bull	bullet	bungalow	bureau	bus	butterfly	buzzard	cabbage	cabin	cabinet	cage	cake	calf	camel	camisole	canary	candle	cannon	canoe	cantaloupe	cap_(bottle)	cap_(hat)	cape	car	card_(greeting)	caribou	carpet	carrot	cart	cat	catapult	caterpillar	catfish	cathedral	cauliflower	cedar	celery	cellar	cello	certificate	chain	chair	chandelier	chapel	cheese	cheetah	cherry	chickadee	chicken	chimp	chipmunk	chisel	church	cigar	cigarette	clam	clamp	clarinet	cloak	clock	closet	coat	cockroach	coconut	cod	coin	colander	comb	cork	corkscrew	corn	cottage	couch	cougar	cow	coyote	crab	cranberry	crane_(machine)	crayon	crocodile	crossbow	crow	crowbar	crown	cucumber	cup	cupboard	curtains	cushion	dagger	dandelion	deer	desk	dish	dishwasher	dog	doll	dolphin	donkey	door	doorknob	dove	drain	drapes	dress	dresser	drill	drum	duck	dunebuggy	eagle	earmuffs	eel	eggplant	elephant	elevator	elk	emerald	emu	envelope
starling	0.000	0.337	0.000	0.000	0.000	0.152	0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.338	0.000	0.000	0.000	0.000	0.000	0.034	0.037	0.000	0.000	0.024	0.000	0.248	0.000	0.000	0.000	0.000	0.029	0.000	0.054	0.000	0.848	0.000	0.000	0.066	0.769	0.072	0.000	0.033	0.043	0.000	0.000	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.033	0.013	0.000	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.040	0.606	0.000	0.000	0.000	0.000	0.051	0.087	0.000	0.000	0.318	0.728	0.000	0.051	0.000	0.032	0.000	0.055	0.000	0.000	0.652	0.000	0.035	0.000	0.000	0.081	0.000	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.073	0.000	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.051	0.772	0.571	0.076	0.083	0.000	0.000	0.000	0.000	0.000	0.000	0.038	0.052	0.000	0.042	0.000	0.138	0.000	0.000	0.040	0.000	0.031	0.000	0.000	0.000	0.124	0.000	0.066	0.123	0.000	0.030	0.036	0.000	0.000	0.022	0.000	0.660	0.021	0.000	0.000	0.000	0.000	0.000	0.028	0.043	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.040	0.000	0.000	0.000	0.685	0.000	0.000	0.000	0.000	0.000	0.000	0.412	0.000	0.717	0.000	0.000	0.000	0.049	0.000	0.000	0.000	0.449	0.000
stereo	0.029	0.000	0.000	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.158	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.042	0.000	0.000	0.000	0.000	0.000	0.061	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.106	0.000	0.000	0.000	0.000	0.000	0.020	0.000	0.000	0.000	0.000	0.031	0.000	0.000	0.000	0.000	0.000	0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.066	0.000	0.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.088	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.042	0.000	0.150	0.067	0.000	0.047	0.000	0.000	0.097	0.000	0.000	0.025	0.000	0.096	0.000	0.000
stick	0.000	0.000	0.126	0.000	0.000	0.000	0.000	0.000	0.058	0.000	0.000	0.136	0.000	0.013	0.000	0.000	0.020	0.000	0.076	0.240	0.121	0.219	0.422	0.000	0.153	0.000	0.503	0.020	0.343	0.133	0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.030	0.000	0.108	0.423	0.000	0.000	0.072	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.542	0.203	0.000	0.046	0.000	0.315	0.058	0.000	0.000	0.077	0.288	0.000	0.094	0.000	0.031	0.000	0.047	0.150	0.000	0.325	0.000	0.000	0.000	0.000	0.000	0.000	0.129	0.000	0.000	0.000	0.239	0.000	0.000	0.000	0.000	0.353	0.384	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.045	0.265	0.000	0.000	0.000	0.195	0.000	0.000	0.000	0.000	0.062	0.220	0.000	0.246	0.063	0.000	0.000	0.000	0.030	0.057	0.000	0.232	0.000	0.093	0.209	0.000	0.000	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.050	0.000	0.036	0.000	0.153	0.218	0.000	0.000	0.087	0.024	0.026	0.000	0.000	0.000	0.039	0.225	0.000	0.000	0.222	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.060	0.269	0.000	0.147	0.000	0.112	0.000	0.193	0.045	0.000	0.057	0.000	0.000	0.266	0.000	0.000	0.000	0.000	0.000	0.000	0.299	0.000	0.000	0.000	0.064	0.113	0.242	0.000	0.000	0.000	0.000	0.000	0.000	0.171	0.000	0.000	0.000	0.000	0.000	0.000	0.000
stone	0.000	0.000	0.000	0.000	0.109	0.070	0.037	0.036	0.000	0.053	0.055	0.000	0.000	0.054	0.000	0.000	0.274	0.072	0.024	0.042	0.000	0.000	0.112	0.088	0.000	0.018	0.027	0.084	0.102	0.000	0.035	0.024	0.000	0.000	0.000	0.017	0.000	0.144	0.066	0.000	0.080	0.000	0.100	0.000	0.107	0.000	0.000	0.000	0.000	0.130	0.015	0.000	0.152	0.023	0.113	0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.025	0.128	0.023	0.000	0.042	0.000	0.302	0.017	0.000	0.000	0.000	0.072	0.028	0.026	0.000	0.000	0.000	0.000	0.036	0.061	0.026	0.000	0.022	0.000	0.050	0.036	0.000	0.023	0.000	0.039	0.000	0.000	0.036	0.000	0.110	0.000	0.081	0.165	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.041	0.042	0.000	0.000	0.000	0.000	0.000	0.118	0.000	0.000	0.000	0.000	0.030	0.000	0.066	0.000	0.098	0.063	0.000	0.000	0.058	0.000	0.000	0.000	0.036	0.148	0.000	0.000	0.000	0.048	0.029	0.000	0.128	0.131	0.000	0.157	0.000	0.021	0.000	0.000	0.000	0.087	0.020	0.000	0.000	0.000	0.021	0.025	0.175	0.000	0.000	0.066	0.000	0.193	0.080	0.000	0.000	0.000	0.000	0.046	0.085	0.000	0.000	0.000	0.083	0.000	0.000	0.000	0.149	0.077	0.000	0.108	0.000	0.029	0.028	0.000	0.018	0.000	0.058	0.000	0.000	0.000	0.043	0.056	0.000	0.117	0.000	0.000	0.000	0.000	0.000
stool_(furniture)	0.000	0.038	0.000	0.000	0.102	0.097	0.051	0.039	0.000	0.104	0.060	0.000	0.000	0.000	0.000	0.000	0.135	0.078	0.026	0.273	0.000	0.206	0.519	0.000	0.145	0.024	0.407	0.000	0.307	0.000	0.056	0.033	0.021	0.000	0.000	0.023	0.000	0.059	0.072	0.000	0.577	0.044	0.222	0.098	0.127	0.000	0.000	0.000	0.000	0.154	0.020	0.000	0.356	0.224	0.143	0.000	0.000	0.363	0.000	0.000	0.000	0.000	0.190	0.138	0.121	0.000	0.077	0.000	0.000	0.181	0.000	0.176	0.039	0.152	0.161	0.036	0.069	0.039	0.258	0.000	0.111	0.084	0.225	0.000	0.030	0.000	0.054	0.383	0.362	0.156	0.000	0.111	0.035	0.000	0.073	0.000	0.025	0.174	0.087	0.274	0.000	0.000	0.000	0.000	0.064	0.000	0.000	0.239	0.086	0.191	0.058	0.000	0.000	0.000	0.098	0.000	0.000	0.219	0.000	0.111	0.611	0.000	0.000	0.000	0.031	0.117	0.087	0.022	0.000	0.080	0.093	0.000	0.000	0.039	0.000	0.081	0.108	0.000	0.052	0.040	0.000	0.038	0.024	0.000	0.279	0.100	0.059	0.212	0.180	0.000	0.330	0.263	0.028	0.100	0.063	0.082	0.035	0.087	0.000	0.025	0.189	0.000	0.146	0.053	0.000	0.000	0.182	0.000	0.119	0.070	0.000	0.107	0.399	0.090	0.032	0.159	0.000	0.000	0.169	0.362	0.139	0.000	0.062	0.000	0.000	0.228	0.027	0.090	0.000	0.000	0.000	0.047	0.000	0.000	0.080	0.066	0.069	0.000	0.052	0.000
stork	0.000	0.254	0.000	0.111	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.020	0.000	0.000	0.031	0.031	0.026	0.000	0.000	0.183	0.000	0.098	0.000	0.000	0.029	0.000	0.146	0.000	0.000	0.000	0.000	0.187	0.000	0.000	0.000	0.000	0.020	0.141	0.000	0.070	0.522	0.000	0.000	0.000	0.520	0.016	0.000	0.000	0.000	0.000	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.022	0.048	0.000	0.110	0.000	0.026	0.000	0.000	0.000	0.000	0.000	0.407	0.064	0.000	0.035	0.059	0.000	0.000	0.015	0.024	0.193	0.546	0.028	0.000	0.000	0.000	0.000	0.000	0.072	0.068	0.453	0.000	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.097	0.000	0.000	0.015	0.130	0.026	0.000	0.000	0.067	0.153	0.000	0.000	0.000	0.045	0.000	0.000	0.142	0.000	0.000	0.053	0.000	0.000	0.479	0.382	0.062	0.045	0.000	0.020	0.017	0.074	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.077	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.073	0.070	0.259	0.000	0.086	0.000	0.068	0.000	0.034	0.000	0.467	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.086	0.092	0.000	0.000	0.129	0.000	0.057	0.140	0.000	0.000	0.621	0.000	0.000	0.000	0.019	0.000	0.000	0.279	0.000	0.518	0.000	0.000	0.000	0.177	0.000	0.024	0.000	0.478	0.102
stove	0.000	0.018	0.000	0.000	0.049	0.000	0.000	0.000	0.331	0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.041	0.000	0.032	0.000	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.019	0.009	0.052	0.000	0.000	0.000	0.000	0.341	0.000	0.000	0.000	0.000	0.000	0.000	0.048	0.000	0.000	0.014	0.000	0.000	0.000	0.000	0.000	0.062	0.000	0.000	0.015	0.000	0.000	0.033	0.000	0.000	0.019	0.035	0.059	0.000	0.000	0.019	0.015	0.000	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.082	0.060	0.000	0.000	0.000	0.000	0.000	0.029	0.012	0.000	0.000	0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.053	0.000	0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.045	0.000	0.000	0.000	0.000	0.039	0.019	0.000	0.080	0.000	0.000	0.000	0.000	0.000	0.048	0.131	0.014	0.000	0.112	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.041	0.000	0.000	0.000	0.000	0.070	0.000	0.000	0.063	0.137	0.000	0.000	0.013	0.000	0.000	0.023	0.060	0.351	0.000	0.000	0.000	0.000	0.038	0.028	0.000	0.053	0.000	0.000	0.000	0.146	0.013	0.000	0.000	0.000	0.000	0.162	0.000	0.000	0.057	0.000	0.000	0.000	0.000
strainer	0.000	0.072	0.000	0.000	0.194	0.000	0.000	0.025	0.097	0.197	0.102	0.000	0.000	0.000	0.217	0.000	0.088	0.093	0.017	0.030	0.066	0.000	0.078	0.000	0.000	0.000	0.161	0.000	0.199	0.000	0.106	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.046	0.115	0.075	0.037	0.381	0.000	0.049	0.000	0.000	0.237	0.000	0.059	0.000	0.000	0.000	0.000	0.191	0.000	0.000	0.057	0.000	0.114	0.000	0.000	0.043	0.255	0.000	0.000	0.090	0.000	0.000	0.131	0.000	0.038	0.178	0.321	0.289	0.000	0.000	0.074	0.060	0.000	0.117	0.000	0.000	0.000	0.000	0.000	0.035	0.000	0.109	0.237	0.000	0.000	0.000	0.000	0.000	0.000	0.048	0.000	0.057	0.363	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.059	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.210	0.000	0.000	0.000	0.000	0.000	0.043	0.000	0.000	0.000	0.000	0.176	0.000	0.000	0.025	0.000	0.153	0.075	0.000	0.034	0.000	0.000	0.000	0.015	0.000	0.280	0.789	0.221	0.000	0.315	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.164	0.000	0.000	0.000	0.000	0.277	0.035	0.000	0.130	0.182	0.000	0.018	0.053	0.000	0.000	0.091	0.219	0.258	0.000	0.000	0.000	0.000	0.152	0.163	0.000	0.128	0.000	0.000	0.000	0.051	0.093	0.000	0.000	0.000	0.030	0.000	0.000	0.000	0.063	0.000	0.000	0.000	0.000
strawberry	0.000	0.000	0.000	0.079	0.000	0.171	0.029	0.620	0.000	0.000	0.000	0.071	0.464	0.000	0.000	0.000	0.000	0.000	0.360	0.000	0.000	0.097	0.000	0.000	0.000	0.014	0.000	0.000	0.000	0.000	0.000	0.101	0.000	0.000	0.028	0.013	0.000	0.017	0.271	0.000	0.000	0.000	0.016	0.000	0.215	0.000	0.000	0.000	0.011	0.474	0.011	0.000	0.000	0.018	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.135	0.000	0.000	0.018	0.000	0.000	0.103	0.177	0.013	0.055	0.000	0.000	0.000	0.022	0.021	0.051	0.000	0.000	0.000	0.028	0.048	0.000	0.000	0.017	0.000	0.026	0.028	0.000	0.018	0.157	0.066	0.000	0.019	0.029	0.000	0.000	0.000	0.555	0.045	0.000	0.000	0.000	0.000	0.000	0.035	0.000	0.000	0.000	0.000	0.033	0.068	0.000	0.090	0.000	0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.149	0.000	0.559	0.049	0.065	0.000	0.046	0.000	0.000	0.000	0.000	0.134	0.000	0.000	0.000	0.000	0.023	0.000	0.022	0.197	0.113	0.022	0.000	0.017	0.000	0.000	0.128	0.069	0.021	0.000	0.000	0.000	0.340	0.567	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.205	0.000	0.000	0.000	0.069	0.024	0.056	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.057	0.000	0.000	0.013	0.061	0.187	0.000	0.000	0.036	0.000	0.000	0.000
submarine	0.000	0.175	0.000	0.066	0.201	0.000	0.000	0.000	0.000	0.155	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.047	0.000	0.000	0.073	0.073	0.062	0.000	0.000	0.000	0.127	0.082	0.101	0.000	0.256	0.000	0.155	0.000	0.000	0.000	0.000	0.048	0.000	0.000	0.059	0.095	0.208	0.000	0.000	0.166	0.000	0.000	0.000	0.000	0.000	0.038	0.000	0.136	0.151	0.108	0.000	0.081	0.000	0.000	0.000	0.000	0.000	0.000	0.053	0.000	0.047	0.000	0.000	0.205	0.000	0.000	0.094	0.110	0.183	0.000	0.150	0.160	0.164	0.140	0.092	0.000	0.035	0.164	0.000	0.064	0.000	0.000	0.000	0.187	0.000	0.000	0.062	0.000	0.000	0.000	0.212	0.073	0.000	0.118	0.000	0.000	0.099	0.000	0.098	0.000	0.000	0.083	0.000	0.105	0.000	0.000	0.188	0.000	0.000	0.000	0.000	0.106	0.000	0.166	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.139	0.046	0.040	0.000	0.000	0.121	0.059	0.000	0.000	0.000	0.000	0.063	0.000	0.000	0.150	0.150	0.044	0.000	0.198	0.000	0.000	0.033	0.038	0.101	0.000	0.000	0.000	0.289	0.000	0.081	0.000	0.055	0.218	0.000	0.000	0.000	0.000	0.000	0.000	0.042	0.000	0.000	0.071	0.000	0.048	0.000	0.000	0.000	0.000	0.120	0.087	0.000	0.045	0.000	0.000	0.044	0.041	0.042	0.000	0.028	0.065	0.000	0.000	0.000	0.165	0.118	0.057	0.000	0.064	0.000
subway	0.026	0.295	0.000	0.185	0.000	0.000	0.000	0.000	0.000	0.000	0.055	0.000	0.000	0.000	0.000	0.025	0.000	0.000	0.000	0.000	0.000	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.137	0.000	0.000	0.000	0.000	0.000	0.093	0.000	0.000	0.000	0.000	0.000	0.157	0.000	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.016	0.000	0.102	0.022	0.000	0.128	0.000	0.000	0.395	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.040	0.000	0.000	0.000	0.037	0.050	0.000	0.000	0.000	0.000	0.287	0.000	0.039	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.014	0.000	0.000	0.178	0.000	0.000	0.018	0.000	0.074	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.027	0.000	0.000	0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.197	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.058	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.106	0.000	0.000	0.055	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.106	0.058	0.000	0.170	0.000	0.000	0.054	0.000	0.000	0.118	0.053	0.000	0.000	0.000
surfboard	0.000	0.000	0.165	0.000	0.000	0.000	0.000	0.000	0.075	0.000	0.000	0.177	0.000	0.000	0.026	0.000	0.025	0.126	0.099	0.055	0.158	0.050	0.096	0.000	0.035	0.000	0.289	0.000	0.299	0.174	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.093	0.214	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.021	0.000	0.000	0.000	0.312	0.114	0.000	0.000	0.000	0.071	0.076	0.000	0.000	0.150	0.124	0.019	0.021	0.022	0.000	0.000	0.021	0.094	0.000	0.223	0.000	0.000	0.000	0.013	0.000	0.000	0.029	0.000	0.000	0.000	0.054	0.000	0.040	0.000	0.000	0.080	0.087	0.000	0.000	0.000	0.000	0.000	0.000	0.028	0.000	0.257	0.000	0.000	0.025	0.255	0.017	0.000	0.000	0.041	0.081	0.050	0.000	0.046	0.101	0.073	0.000	0.000	0.000	0.074	0.000	0.053	0.000	0.121	0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.065	0.000	0.000	0.000	0.121	0.285	0.000	0.000	0.138	0.000	0.000	0.048	0.000	0.000	0.026	0.051	0.000	0.000	0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.048	0.078	0.045	0.000	0.129	0.000	0.146	0.014	0.044	0.080	0.015	0.000	0.000	0.000	0.060	0.022	0.000	0.000	0.000	0.041	0.000	0.068	0.000	0.000	0.000	0.097	0.205	0.055	0.000	0.000	0.000	0.000	0.000	0.021	0.223	0.000	0.000	0.000	0.000	0.000	0.000	0.020
swan	0.000	0.121	0.038	0.172	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.111	0.000	0.141	0.000	0.000	0.000	0.000	0.090	0.103	0.000	0.000	0.000	0.065	0.000	0.000	0.000	0.000	0.000	0.260	0.000	0.000	0.415	0.000	0.012	0.000	0.375	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.017	0.000	0.000	0.000	0.000	0.089	0.000	0.203	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.218	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.142	0.314	0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.126	0.255	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.109	0.000	0.283	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.098	0.000	0.000	0.342	0.340	0.000	0.084	0.000	0.000	0.000	0.136	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.017	0.064	0.056	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.103	0.000	0.000	0.000	0.000	0.000	0.088	0.000	0.258	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.022	0.109	0.000	0.000	0.000	0.597	0.000	0.000	0.000	0.000	0.000	0.000	0.434	0.000	0.334	0.000	0.085	0.000	0.000	0.000	0.000	0.020	0.311	0.188
sweater	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.045	0.000	0.000	0.000	0.000	0.000	0.052	0.000	0.050	0.089	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.038	0.000	0.000	0.000	0.000	0.044	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.317	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.158	0.000	0.000	0.100	0.000	0.038	0.000	0.108	0.000	0.000	0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.080	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.102	0.000	0.056	0.000	0.000	0.000	0.000	0.176	0.267	0.035	0.000	0.000	0.161	0.000	0.000	0.000	0.000	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.258	0.000	0.000	0.716	0.000	0.000	0.000	0.000	0.000	0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.096	0.000	0.000	0.000	0.000	0.000	0.000	0.028	0.000	0.041	0.030	0.000	0.000	0.000	0.000	0.043	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.026	0.296	0.000	0.000	0.000	0.000	0.000	0.000	0.270	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.039
swimsuit	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.027	0.000	0.000	0.000	0.000	0.000	0.046	0.000	0.045	0.079	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.033	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.228	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.060	0.000	0.000	0.089	0.000	0.034	0.000	0.154	0.000	0.000	0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.071	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.143	0.000	0.050	0.000	0.000	0.000	0.000	0.123	0.153	0.031	0.000	0.000	0.073	0.000	0.000	0.000	0.000	0.032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.125	0.000	0.000	0.111	0.000	0.000	0.000	0.000	0.000	0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.086	0.000	0.000	0.000	0.000	0.000	0.000	0.025	0.000	0.037	0.027	0.000	0.000	0.000	0.000	0.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.023	0.329	0.000	0.000	0.000	0.000	0.000	0.000	0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.035
sword	0.000	0.045	0.101	0.000	0.123	0.000	0.000	0.000	0.037	0.150	0.000	0.088	0.000	0.387	0.000	0.000	0.000	0.000	0.049	0.000	0.079	0.000	0.000	0.000	0.155	0.000	0.207	0.000	0.214	0.295	0.283	0.000	0.017	0.000	0.000	0.000	0.053	0.000	0.000	0.047	0.111	0.024	0.130	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.094	0.000	0.147	0.244	0.000	0.036	0.038	0.000	0.000	0.050	0.147	0.000	0.000	0.000	0.038	0.000	0.000	0.119	0.000	0.237	0.190	0.283	0.170	0.000	0.000	0.108	0.038	0.028	0.114	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.150	0.000	0.000	0.000	0.000	0.000	0.000	0.221	0.036	0.000	0.094	0.000	0.127	0.000	0.000	0.000	0.000	0.064	0.037	0.000	0.155	0.041	0.000	0.000	0.000	0.000	0.037	0.000	0.000	0.000	0.217	0.000	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.304	0.000	0.032	0.000	0.000	0.122	0.100	0.142	0.000	0.000	0.057	0.000	0.000	0.000	0.144	0.120	0.035	0.000	0.218	0.000	0.000	0.000	0.027	0.000	0.000	0.000	0.000	0.104	0.000	0.076	0.243	0.000	0.305	0.000	0.073	0.121	0.000	0.029	0.000	0.696	0.000	0.000	0.057	0.000	0.039	0.000	0.000	0.000	0.000	0.172	0.070	0.000	0.036	0.042	0.073	0.000	0.033	0.033	0.000	0.000	0.000	0.000	0.144	0.000	0.000	0.040	0.000	0.054	0.000	0.000
